[(2019-10-26 06:54:54,802) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 06:56:05,274) (member:77) : DEBUG] "creating file for 427976128242778122"
[(2019-10-26 07:03:04,096) (main:42) : INFO] "637451243459051522"
[(2019-10-26 07:03:04,096) (main:43) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:03:04,097) (main:44) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:03:04,097) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:03:37,190) (main:42) : INFO] "637451243459051522"
[(2019-10-26 07:03:37,190) (main:43) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:03:37,190) (main:44) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:03:37,191) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:03:51,399) (main:42) : INFO] "637451243459051522"
[(2019-10-26 07:03:51,399) (main:43) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:03:51,399) (main:44) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:03:51,400) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:04:25,010) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:04:25,010) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:04:25,010) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:04:25,010) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:06:33,458) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:06:33,459) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:06:33,459) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:06:33,459) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:07:23,774) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:07:23,774) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:07:23,776) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:07:23,777) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:09:16,568) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:09:16,568) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:09:16,568) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:09:16,568) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:09:53,336) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:09:53,336) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:09:53,337) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:09:53,337) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:10:10,819) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:10:10,819) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:10:10,819) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:10:10,819) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:10:24,919) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:10:24,919) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:10:24,920) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:10:24,920) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:11:34,523) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:11:34,523) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:11:34,523) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:11:34,523) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:12:10,378) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:12:10,378) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:12:10,378) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:12:10,379) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:12:54,587) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:12:54,587) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:12:54,588) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:12:54,588) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:14:13,773) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:14:13,773) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:14:13,773) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:14:13,774) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:20:33,339) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:20:33,339) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:20:33,339) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:20:33,340) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:22:52,900) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:22:52,900) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:22:52,900) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:22:52,901) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:26:03,132) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:26:03,132) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:26:03,133) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:26:03,133) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:26:40,724) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:26:40,724) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:26:40,724) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
